,Visitor,G,Home,G.1,Total_goal,Rk,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GF/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,Rk,Age,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,Assist-EV,PP,Assist-SH,S,S%,TOI,BLK,HIT,FOW,FOL,FO%,Rk,Age,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TK,GV,SAtt,Thru%,Rk.1,AvAge.1,GP.1,W.1,L.1,OL.1,PTS.1,PTS%.1,GF.1,GA.1,SOW.1,SOL.1,SRS.1,SOS.1,GF/G.1,GF/G.1,PP.1,PPO.1,PP%.1,PPA.1,PPOA.1,PK%.1,SH.1,SHA.1,PIM/G.1,oPIM/G.1,S.1,S%.1,SA.1,SV%.1,SO.1,Rk.1,Age.1,GP.1,G.1,A.1,PTS.1,+/-.1,PIM.1,PS.1,EV.1,PP.1,SH.1,GW.1,Assist-EV.1,PP.1,Assist-SH.1,S.1,S%.1,TOI.1,BLK.1,HIT.1,FOW.1,FOL.1,FO%.1,Rk.1,Age.1,GP.1,CF.1,CA.1,CF%.1,CF% rel.1,FF.1,FA.1,FF%.1,FF rel.1,oiSH%.1,oiSV%.1,PDO.1,oZS%.1,dZS%.1,TK.1,GV.1,SAtt.1,Thru%.1
652,Anaheim Ducks,1,Calgary Flames,3,4,0.06896551724137931,0.5833333333333339,0.0,0.7142857142857142,0.25000000000000006,0.6000000000000001,0.7317073170731708,0.7330210772833722,0.4716981132075473,0.2465753424657533,0.75,0.42857142857142855,0.7252252252252253,0.38888888888888884,0.46846846846846857,0.25,0.42307692307692313,0.16049382716049365,0.5897239263803682,0.5714285714285713,0.5510204081632653,0.5277978339350184,0.4545454545454546,0.7142857142857142,0.2753623188405796,0.0,0.2968299711815563,0.6444444444444448,0.463709677419355,0.5869565217391326,0.7142857142857142,0.6805070989941373,0.5785846667884833,0.44975245374793715,0.6281190199242055,0.6998751320718468,0.6755774655045359,0.7324441480493498,0.32994188299108884,0.7336394948335245,0.6376455811829183,0.41176470588235303,0.5172413793103449,0.6670344827586207,0.7773852337634864,0.390157862245348,0.6130268199233716,0.36497714997922737,0.5124858230039793,0.4777341777170827,0.7418255316427893,0.3790036566665357,0.3757945470208852,0.7553879310344827,0.44781653300759494,0.5649743766761375,0.6093808630393998,0.37198622273249127,0.2701777605367044,0.5255182160804021,0.23393961663298546,0.25262164698908274,0.236906608268858,0.48994292555429775,0.23138297872340452,0.2664995243631752,0.5049069456439979,0.754850911029834,0.68370801733478,0.5279414280275092,0.47205857197249035,0.28795800866681576,0.42257217847769035,0.32125471179891263,0.5759367707278402,0.8275862068965517,0.625,0.0,0.19047619047619047,0.8999999999999999,0.4,0.14634146341463417,0.14754098360655743,0.358490566037736,0.8219178082191778,0.0,0.42857142857142855,0.2387387387387387,0.611111111111111,0.36036036036036023,0.8223684210526319,0.5,0.4074074074074072,0.47622699386503076,0.47619047619047616,0.3265306122448979,0.5263537906137179,0.5454545454545454,0.2857142857142857,0.23188405797101463,0.06557377049180335,0.1412103746397695,0.6444444444444448,0.6088709677419355,0.0434782608695663,0.0,0.0,0.5397426192278569,0.20654911838790913,0.35255712731229605,0.43412256267409455,0.40650331613854096,0.15906968989663217,0.19415730337078652,0.30173650975889765,0.34038700331125815,0.37959558823529416,0.5625,0.3384166666666667,0.4120398773006134,0.4005754475703326,1.0,0.07379518072289137,0.39983967194880377,0.21490641081223716,0.41490717971458513,0.06587799315849485,0.20079338284942616,0.603515625,0.4265052135889673,0.0,0.5003484320557483,0.06076759061833692,0.0,0.30829370064608763,0.20148202584359165,0.4650971465919844,0.012031056019776054,0.3062493808679956,0.17299107142857162,0.41566918442513,0.3130465152377504,0.2283114913895865,0.2174086183769326,0.056725175663627336,0.9432748243363709,0.40558053425019824,0.33220847394075737,0.0,0.4354697518979136
653,Nashville Predators,4,Chicago Blackhawks,5,9,0.896551724137931,0.2708333333333339,0.0,0.04761904761904767,0.8,0.9,0.12195121951219512,0.12177985948477754,0.0,0.4931506849315068,0.25,0.8571428571428571,0.3063063063063063,0.9999999999999999,0.0,0.493421052631579,0.23076923076923084,0.2222222222222221,0.2569018404907977,0.761904761904762,0.08163265306122458,0.09891696750902579,0.09090909090909091,0.5714285714285714,0.0869565217391306,0.0983606557377048,0.0,0.40000000000000036,0.4536290322580645,0.2826086956521756,0.7142857142857142,0.22278595075319774,0.04693414080242242,0.20654911838790913,0.088955386289445,0.19972144846796658,0.16221444362564474,0.3707194064688229,0.0711025280898876,0.2746842709529276,0.23282284768211925,0.15441176470588247,0.09375,0.11883333333333335,0.2888420245398774,0.21595268542199497,0.1111111111111111,0.0,0.560871699256305,0.23271945863414434,0.4232217003950658,0.12137970353477767,0.1692268737339635,0.1953125,0.5399708487498602,0.29158516472979734,0.0,0.20093974571586504,0.01685887740141334,0.368136981202308,0.35481068673548277,0.35064732728122555,0.035063935729617635,0.34929929544306626,0.3392434988179671,0.44040961680746055,0.9999999999999998,0.08670990930278677,0.6228916710137398,0.019416082829200487,0.9805839171707977,0.3340680008228275,0.277145912316516,0.05891634062035456,0.40666437169012815,0.0,0.16666666666666696,0.0,1.0,0.0,0.5,1.0,1.0,0.7547169811320757,0.0,0.75,0.7142857142857142,1.0,0.11111111111111105,0.7477477477477477,0.0,0.2692307692307693,0.34567901234567877,0.22085889570552175,0.0,0.12244897959183687,0.9429602888086643,0.4545454545454546,0.7142857142857142,0.0,0.08196721311475397,0.7204610951008643,0.666666666666667,0.2983870967741935,0.7826086956521756,1.0,0.6808745620333676,0.26784828630347945,0.4527924954399376,0.8577539304341302,0.7939294976467195,0.8155413818514472,1.0,0.12511429678419217,1.0,0.9598081753825076,0.2697768762677485,0.5172413793103449,0.9577931034482762,0.9133276919822296,0.33459740717876363,0.735632183908046,0.6092646447860406,0.7511677147017966,0.4866520764989315,0.4574115828484209,0.058255023001612116,0.46129129898251375,0.46875,0.0,0.6520291927609845,0.29965156794425063,0.34061833688699394,0.3694914136919476,0.2806891600861451,0.9066253729123468,0.42980289482784184,0.38095831883120623,0.24715006659108663,1.0,0.3784377972730156,0.7012987012987015,0.8410205628877776,0.8778294768611694,0.8630003040167789,0.13699969598322115,0.9999999999999999,0.30296212973378345,0.38044816547648375,0.5656003984567226
654,Edmonton Oilers,4,Colorado Avalanche,1,5,0.7931034482758621,0.08333333333333304,0.0,0.19047619047619047,0.75,0.7000000000000001,0.2195121951219513,0.22014051522248235,0.26415094339622636,0.4657534246575341,0.25,0.42857142857142855,0.43243243243243246,0.33333333333333326,0.26126126126126126,0.4671052631578949,0.6153846153846154,0.5802469135802468,0.485429447852761,0.5238095238095238,0.8163265306122449,0.6685920577617335,0.36363636363636365,0.14285714285714285,0.23188405797101463,0.3114754098360657,0.11815561959654186,0.577777777777778,0.931451612903226,0.6521739130434803,0.42857142857142855,0.7514209037255521,0.3251865469882116,0.5465994962216625,0.5269703093424531,0.6360525268603261,0.5991156963890936,0.3551612442242652,0.3324077046548958,0.5065606035755289,0.4347800378429516,0.6323529411764706,0.42857142857142855,0.35723809523809524,0.527695004382121,0.7122762148337597,0.6349206349206349,0.33820998278829606,0.2913208133530394,0.5571242766394602,0.7531300031098467,0.32591627300863324,0.26536124240378123,0.7723214285714284,0.20126976118398932,0.7175194498287356,0.3662288930581603,0.4408725602755452,0.21569089798101948,0.6658231059141865,0.0,0.09873973529311209,0.24742824846417988,0.6907620001540951,0.0,0.2460205052320052,0.2475482684646031,0.6240491881128669,0.41583152762730435,0.3163114592779115,0.683688540722089,0.4424755355725999,0.6456692913385826,0.2549580436800334,0.5851034674160016,0.9655172413793104,0.14583333333333304,0.0,0.04761904761904767,0.8999999999999999,0.7000000000000001,0.07317073170731714,0.07259953161592514,0.09433962264150964,0.7260273972602738,0.25,0.2857142857142857,0.2027027027027027,0.611111111111111,0.09909909909909898,0.7302631578947367,0.11538461538461542,0.2222222222222221,0.09279141104294486,0.8571428571428571,0.9795918367346936,0.444765342960288,0.2727272727272727,0.42857142857142855,0.4782608695652173,0.049180327868852514,0.49279538904899134,0.24444444444444446,0.8024193548387095,0.304347826086957,0.42857142857142855,0.8279188342852666,0.16426949280847936,0.5465994962216625,0.3842686149541428,0.4412256267409471,0.42193915148963046,0.2518315629019196,0.5230979133226324,0.29965556831228457,0.5225875118259224,0.15441176470588247,0.3214285714285714,0.20666666666666667,0.5880368098159509,0.19437340153452698,0.25396825396825395,0.5619621342512908,0.06850760692307167,0.55976324668715,0.8220217458909711,0.5205082260954553,0.5638082376772451,0.5669642857142856,0.3908200116841045,0.6926263243142776,0.33921200750469005,0.44374282433983936,0.4048863230115083,0.5624698009277157,0.532488211158062,0.6668591991913635,0.3878692719408665,0.5539836540684062,0.5428856382978715,0.603494507817518,0.3578448443986295,0.32662106657558,0.30785030697002647,0.4804013625837582,0.5195986374162413,0.86629503794275,0.32020997375328086,0.4054514803098894,0.6197233218984772
655,Dallas Stars,1,St. Louis Blues,2,3,0.7241379310344828,0.45833333333333304,0.0,0.33333333333333326,0.75,0.4,0.29268292682926844,0.2927400468384075,0.358490566037736,0.6027397260273972,0.25,0.14285714285714285,0.4369369369369369,0.7777777777777777,0.36036036036036023,0.605263157894737,0.42307692307692313,0.6049382716049383,0.24309815950920255,0.761904761904762,0.8979591836734695,0.49386281588447645,0.18181818181818182,0.42857142857142855,0.5507246376811592,0.5737704918032787,0.04899135446685854,0.7111111111111108,0.7641129032258065,0.3913043478260896,0.14285714285714285,0.6853637354959612,0.6899318697956094,0.36523929471032757,0.47094668117519056,0.5472980501392757,0.5214443625644805,0.4292141825052795,0.47224719101123613,0.45947187141216983,0.531953642384106,0.37745098039215697,0.2,0.4408888888888889,0.5974233128834355,0.3938618925831203,0.47407407407407404,0.1522088353413653,1.0,0.3645799953503861,0.44968959122792884,0.38941847206385416,0.2630654962862933,0.6333333333333333,0.334283551967709,0.5318470381654186,0.46489925768822893,0.34815055158987684,0.2602619386440468,0.4753454773869349,0.3721306717576347,0.7779232327224226,0.18342326141588972,0.5133523383927883,0.1822386679000929,0.618729521192263,0.9200470843897142,0.3069519069123494,0.703051643192488,0.29124124243800953,0.7087587575619891,0.4200177086807032,0.4422001597626384,0.27161868462469085,0.01521718121603488,0.1724137931034483,0.0625,0.0,0.6666666666666667,0.5,0.2,0.5853658536585366,0.5854800936768151,0.28301886792452846,0.23287671232876717,0.625,0.14285714285714285,0.6711711711711712,0.611111111111111,0.2792792792792791,0.23684210526315796,0.42307692307692313,0.33333333333333326,0.4348159509202456,0.23809523809523803,0.30612244897959195,0.7581227436823106,0.2727272727272727,0.7142857142857142,0.2753623188405796,0.29508196721311486,0.2651296829971179,0.5111111111111115,0.10282258064516148,0.3260869565217419,1.0,0.8504791692513294,0.6370875038551045,0.6473551637279598,0.6156450247853951,0.7021974620860416,0.6728895439286007,0.5319872056117471,0.3993258426966292,0.7657864523536162,0.6175496688741722,0.4880174291938999,0.3333333333333333,0.7531851851851853,0.7079754601226994,0.5410628019323672,0.5267489711934156,0.5111557340473003,0.2775872598299429,0.6551012757116319,0.6297759502629292,0.4350183707082226,0.6331057593717959,0.7025462962962963,0.8213609989909185,0.9237817232219239,0.5565217391304351,0.6499026606099938,0.4348112703264704,0.44488065326633175,0.8352704044817565,1.0,0.4378520352883968,0.40051621850681896,0.9308510638297891,1.0,0.329228540383919,0.43315329230219035,0.3573943661971839,0.4666794194304287,0.5333205805695713,0.5098490162482895,0.0861577085473012,0.48970589809749154,0.9999999999999996
656,Pittsburgh Penguins,3,Boston Bruins,2,5,0.034482758620689655,0.625,0.0,1.0,0.25000000000000006,0.0,0.8780487804878049,0.8782201405152225,1.0,0.3013698630136985,0.375,0.0,0.9414414414414416,0.22222222222222215,1.0,0.3026315789473686,0.9230769230769231,0.5925925925925926,0.8374233128834356,0.761904761904762,0.6530612244897958,0.39494584837545066,0.18181818181818182,0.42857142857142855,0.36231884057971,0.42622950819672134,0.5590778097982705,0.9555555555555557,0.590725806451613,0.608695652173914,0.7142857142857142,0.3958239995854709,1.0,0.28333468757617597,0.896767173294956,0.8958217270194984,0.8961418689233842,0.8624917983413825,0.30395795578108,0.8817821562164361,0.8137684255500961,0.7770398481973435,0.1935483870967742,1.0,0.8650900455175142,0.7784836234634106,0.0,0.3620287602020986,0.6561313931280701,0.278646050270555,0.539021516646597,0.37974031706330236,0.39310840539304315,0.2993951612903225,0.46928607467204886,0.2789523645150156,1.0,0.5453980099502491,0.45867804915565236,0.5956475083752096,0.2645089513544412,0.46284461968896107,0.4643227118383948,0.5774883144566865,0.3477670656028371,0.42324278617482297,0.6242303513219847,1.0,0.886737089201878,0.3383945864517828,0.6616054135482163,0.1602970995327514,0.2578740157480316,0.5100344742674219,0.4495285897429828,0.13793103448275862,0.375,0.0,0.6190476190476191,0.35000000000000003,0.6000000000000001,0.6341463414634146,0.6346604215456674,0.3396226415094339,0.12328767123287676,0.5,0.42857142857142855,0.7297297297297298,0.38888888888888884,0.34234234234234195,0.125,0.0,0.0,0.07361963190184051,0.1428571428571429,0.5714285714285716,0.9350180505415162,0.4545454545454546,0.2857142857142857,0.4347826086956519,0.049180327868852514,0.902017291066282,0.2666666666666666,0.530241935483871,0.7826086956521756,0.8571428571428571,0.4745440655056905,0.852636891244007,0.36523929471032757,0.45614798694232883,0.5018384401114204,0.48636698599852624,0.7557985995331777,0.38548314606741585,0.679219288174512,0.6466887417218543,0.0,0.5,0.6282666666666669,0.728834355828221,0.0,0.7111111111111111,0.6277108433734937,0.07543214816230714,0.37601553222370887,0.40312827541723784,0.3904218928164197,0.6441593517893314,0.054166666666666696,0.5585188572149347,0.42816175884867635,0.8120075046904311,0.4724454649827785,0.7403266169210994,0.4780090355624277,0.7893931042929752,0.2998135157832338,0.6911669871364465,0.4873733901509538,0.7932180851063846,0.3630747278300392,0.2446646978519489,0.6307142440576854,0.4199846514987371,0.6064592135346074,0.39354078646539215,0.3012023681158832,0.4881889763779528,0.6235675184210028,0.45685871083695817
657,Philadelphia Flyers,5,Carolina Hurricanes,3,8,0.6551724137931035,0.39583333333333304,0.0,0.38095238095238093,0.75,0.30000000000000004,0.31707317073170727,0.3161592505854801,0.4339622641509435,0.5753424657534245,0.125,0.2857142857142857,0.46846846846846846,0.6666666666666666,0.43243243243243246,0.5789473684210527,0.7307692307692308,0.6049382716049383,0.6019938650306749,0.38095238095238104,1.0,0.8447653429602893,0.18181818181818182,0.42857142857142855,0.9420289855072459,1.0,0.43227665706051877,0.5555555555555558,0.526209677419355,0.26086956521739424,0.14285714285714285,0.7618109211597819,0.5933816372877683,0.0025188916876572875,0.25108036685838653,0.2723756466374849,0.2651647541846509,0.34529795646167766,0.5316789727126806,0.3700508446777101,0.24862819299905392,0.47058823529411775,0.17142857142857143,0.387352380952381,0.2219631901840492,0.5012787723785167,0.20317460317460315,0.04595524956970731,0.6275619751353352,0.0,0.4519067967427235,0.3181755986316991,0.03480273946175361,0.13482142857142865,0.9120101749075011,0.7478537307782245,0.5614476789929199,0.01949927780452576,0.012514500127059014,0.30653772896741793,0.25926562478392823,0.25047423800820057,0.0,0.2653795585424594,0.2683596431022659,0.28058978966282644,0.4329137993480623,0.6101815717115606,0.5057120500782464,0.014528508983369992,0.9857287317453562,0.0,0.2691558716450767,0.10628241891795276,0.38744962037980457,0.8620689655172414,0.1875,0.0,0.19047619047619047,0.8999999999999999,0.4,0.14634146341463417,0.14754098360655743,0.3396226415094339,0.8493150684931505,0.125,0.14285714285714285,0.2387387387387387,0.611111111111111,0.34234234234234195,0.8486842105263159,0.23076923076923084,0.5308641975308639,0.05828220858895716,0.8571428571428571,0.5306122448979593,0.2505415162454874,0.2727272727272727,0.5714285714285714,0.28985507246376807,0.180327868852459,0.8674351585014408,0.2666666666666666,0.879032258064516,0.21739130434782794,0.2857142857142857,0.7082243110960618,0.13208608197253113,0.0,0.18765739157469308,0.2269160366096299,0.21362248657753424,0.31711713428285615,0.13695024077046536,0.2159422666885351,0.346972563859981,0.08823529411764708,0.2571428571428571,0.22674285714285702,0.3828746713409291,0.08695652173913049,0.20317460317460315,0.25387263339070554,0.33865739653309523,0.007992309287289334,0.22955275797330144,0.1323994135852744,0.159428957268255,0.1312500000000001,0.5483097880928358,0.8185052390125491,0.14225019669551564,0.01709195955705356,0.28358048673643754,0.35442332630896434,0.6303647379785411,0.6610383836387888,0.2633951694898995,0.39335899927674745,0.5357541180507894,0.5873374907515062,0.12881027210804863,0.30692152622255975,0.13628275026503367,0.9658047238191032,0.03419527618089635,0.577624966939963,0.14588095842858362,0.2869943045968337,0.32386151150890585
658,Phoenix Coyotes,3,Chicago Blackhawks,2,5,0.6206896551724138,0.5,0.0,0.2857142857142858,0.55,0.9,0.36585365853658536,0.3653395784543326,0.2264150943396226,0.3835616438356164,0.5,0.8571428571428571,0.4864864864864865,0.6666666666666666,0.22522522522522515,0.38157894736842124,0.2692307692307693,0.5802469135802468,0.07668711656441718,0.761904761904762,0.693877551020408,0.4122743682310466,0.18181818181818182,0.2857142857142857,0.18840579710144922,0.0983606557377048,0.6858789625360231,0.2666666666666666,0.719758064516129,0.608695652173914,0.8571428571428571,0.6676918255009894,0.7408889369525244,0.5465994962216625,0.4952588217006062,0.562992439315559,0.5400568480892727,0.5688658124136616,0.2990369181380418,0.5255863539445629,0.592833491012299,0.30147058823529427,0.21428571428571427,0.35723809523809524,0.6785495179666957,0.309462915601023,0.25396825396825395,0.6772805507745265,0.21661107718325723,0.5737120883677971,0.598717476186637,0.5409350057012544,0.6179222533037525,0.5200892857142856,0.36587745592687093,0.4797721781152917,0.6212682926829256,0.40149253731343304,0.4918949207290946,0.5514510050251257,0.6103741809051377,0.4937449982710074,0.5226926544784853,0.5834582017104555,0.6068882978723416,0.3814970933305148,0.53775081492213,0.8023394346366288,0.7353521126760576,0.8669419669544021,0.1333770115492201,0.3988574451203385,0.03643044619422575,0.4990888943609948,0.4677412707498556,0.0,0.16666666666666696,0.0,1.0,0.0,0.5,1.0,1.0,0.7547169811320757,0.0,0.75,0.7142857142857142,1.0,0.11111111111111105,0.7477477477477477,0.0,0.2692307692307693,0.34567901234567877,0.22085889570552175,0.0,0.12244897959183687,0.9429602888086643,0.4545454545454546,0.7142857142857142,0.0,0.08196721311475397,0.7204610951008643,0.666666666666667,0.2983870967741935,0.7826086956521756,1.0,0.6808745620333676,0.26784828630347945,0.4527924954399376,0.8577539304341302,0.7939294976467195,0.8155413818514472,1.0,0.12511429678419217,1.0,0.9598081753825076,0.2697768762677485,0.5172413793103449,0.9577931034482762,0.9133276919822296,0.33459740717876363,0.735632183908046,0.6092646447860406,0.7511677147017966,0.4866520764989315,0.4574115828484209,0.058255023001612116,0.46129129898251375,0.46875,0.0,0.6520291927609845,0.29965156794425063,0.34061833688699394,0.3694914136919476,0.2806891600861451,0.9066253729123468,0.42980289482784184,0.38095831883120623,0.24715006659108663,1.0,0.3784377972730156,0.7012987012987015,0.8410205628877776,0.8778294768611694,0.8630003040167789,0.13699969598322115,0.9999999999999999,0.30296212973378345,0.38044816547648375,0.5656003984567226
659,Washington Capitals,5,Montreal Canadiens,1,6,0.27586206896551724,0.125,0.0,0.5714285714285714,0.55,0.30000000000000004,0.5121951219512196,0.5128805620608899,0.6981132075471699,0.452054794520548,0.375,0.0,0.6711711711711712,0.0,0.6936936936936937,0.45394736842105265,1.0000000000000002,0.5185185185185186,1.0,0.8571428571428571,0.5714285714285716,0.2700361010830319,0.2727272727272727,0.5714285714285714,0.23188405797101463,0.3278688524590163,0.3054755043227666,0.8444444444444446,0.8891129032258065,0.6304347826086953,0.5714285714285714,0.39994906854198886,0.8079377095274154,0.5465994962216625,0.8916524172236906,0.928292877039395,0.9158858827244976,0.6064402419854237,0.3324077046548958,0.7634082335574872,0.6806409649952696,1.0000000000000002,0.3214285714285714,0.7085714285714285,0.779119193689746,1.0,0.12698412698412698,0.4500860585197932,0.3886879316014469,0.5480763793330943,0.7792613538199284,0.3592441765759896,0.6212018906144496,0.6808035714285716,0.6761033121624027,0.32361063168795323,0.7336585365853647,0.5567164179104478,0.4695606315303733,0.6465138190954774,0.4361810276195719,0.4121434569974806,0.4087478657893222,0.6364934124354726,0.4181117021276606,0.470239509565585,0.6592068091271275,0.7148272500812283,0.7693661971830981,0.311919370651109,0.6880806293488901,0.4998677598518909,0.5059317585301837,0.5052942624969219,0.21342951553312073,0.10344827586206896,0.375,0.0,0.6666666666666667,0.35000000000000003,0.5,0.6585365853658537,0.65807962529274,0.6981132075471699,0.36986301369863006,0.375,0.2857142857142857,0.7387387387387387,0.38888888888888884,0.6936936936936937,0.368421052631579,0.9230769230769231,1.0,0.5291411042944787,0.8095238095238094,0.7755102040816326,0.40433212996389845,0.0,0.2857142857142857,0.5942028985507246,0.8852459016393444,0.6455331412103744,0.6444444444444448,0.368951612903226,0.36956521739130466,0.5714285714285714,0.23073233897654788,0.6433214127228588,0.4527924954399376,0.8118269483321454,0.8879838632215924,0.8621960206337509,0.6893631210403467,0.562386671832623,0.8048220436280138,0.7054692852249371,0.8732251521298176,0.0,0.7639540229885059,0.7676750581764334,0.9457624129111916,0.0,0.5660573327793932,0.30170828607667977,0.4546204400580054,0.5720946267171181,0.29180985334014864,0.55945423641994,0.7316810344827585,0.47201769046417774,0.22212633759061085,0.4667317073170736,0.4343283582089552,0.4570091301624972,0.3955653266331659,0.7890256598689445,0.39557773057353174,0.3961401960596238,0.3425385622929349,0.822632978723405,0.4691893034562943,0.6209706628033322,0.6654391855301576,0.7115962441314583,0.5409459362521214,0.45905406374787816,0.20601957154192008,0.43496062992125994,0.513568086678158,0.20367632825102655
660,Florida Panthers,2,New Jersey Devils,6,8,1.0,0.375,0.0,0.0,1.0,0.6000000000000001,0.0,0.0,0.0,1.0,0.375,0.14285714285714285,0.0,0.7777777777777777,0.0,1.0,0.42307692307692313,0.24691358024691334,0.5084355828220861,0.9999999999999999,0.3265306122448979,0.0,0.36363636363636365,0.14285714285714285,0.30434782608695654,0.11475409836065564,0.4495677233429394,0.1777777777777778,0.7943548387096775,0.0,0.0,1.0,0.528699291980228,0.06652837457401084,0.0,0.0,0.0,0.0,0.17256444150693973,0.0,0.04119594857810682,0.2603806228373703,0.3529411764705882,0.0,0.0,0.31171957273958184,0.0,0.11091424521615889,0.0,0.08361765093966156,0.1455411641396056,0.1690790797504863,0.0,0.0,0.4876885389558656,1.0000000000000002,0.663414634146342,0.0,0.05886812353736093,0.2828046482412062,0.36999612141996785,0.4904445470294543,0.08039339817497004,0.3298279271643938,0.23878546099290787,0.44700822614799784,0.17363274176023213,0.043467273186760025,0.0,0.8538106852219376,0.1461893147780624,0.21290663845543512,0.08101487314085742,0.074940490847903,0.5027277930998579,0.7586206896551725,1.0,0.0,0.19047619047619047,0.6000000000000001,1.0,0.29268292682926844,0.2927400468384075,0.018867924528302105,0.34246575342465757,0.25,1.0,0.3918918918918919,0.7222222222222221,0.018018018018017834,0.3421052631578949,0.3846153846153848,0.6666666666666665,0.1625766871165646,0.6666666666666666,0.693877551020408,0.49819494584837454,1.0,0.8571428571428571,0.2028985507246377,0.3278688524590163,0.34293948126801155,0.24444444444444446,0.0,0.06521739130434767,0.42857142857142855,0.6300310396962634,0.9038377721193758,0.1344172200595377,0.04312988426154929,0.041732084071916864,0.04220539961144221,0.39294916487313947,0.11932584269662927,0.3218522770761575,0.0,0.22459893048128354,1.0,0.22795959595959592,0.03764640267707753,0.24087421529876774,0.6464646464646464,0.11555312157721787,0.11445013388453029,0.16206703326644512,0.0,0.0,0.050743764450719375,0.19602272727272707,0.5625763449997343,0.6003535167176508,0.8935239697224553,0.1206896551724137,0.058613529189128544,0.0,0.8658384384879025,0.26195176876808857,0.07917665277707031,0.0,0.8915077035950114,0.3551151915850552,0.09163658844246858,0.304873448686692,0.10658491176947038,0.9999999999999996,0.0,0.2505084405694534,0.18816182459951136,0.17041836136844157,0.1156249303072423
661,Toronto Maple Leafs,4,Ottawa Senators,1,5,0.3103448275862069,0.0,0.0,0.523809523809524,0.5,0.5,0.5121951219512196,0.5128805620608899,0.6792452830188682,0.42465753424657526,0.0,0.7142857142857142,0.6531531531531531,0.611111111111111,0.6756756756756754,0.4276315789473686,0.5,0.5432098765432096,0.3742331288343561,0.04761904761904756,0.44897959183673475,0.9913357400722029,0.09090909090909091,0.5714285714285714,0.9999999999999998,0.9344262295081966,0.05763688760806929,1.0,0.8850806451612905,0.6521739130434803,0.8571428571428571,0.3985676797093278,0.3728656741525782,0.6473551637279598,0.9609478902188371,0.937913958526772,0.9457135838860233,0.5539056228619416,0.9999999999999999,0.7978483650125441,0.9999999999999998,0.5642701525054468,0.1111111111111111,0.8572839506172839,0.9999999999999999,0.6206308610400683,0.0,0.3826416778224009,0.4879034152299522,0.6498233356162517,0.9968466410456249,0.9991638160395288,0.69942731387701,0.8807870370370372,0.544827054602534,0.2844396752262459,0.4496288441145282,0.6499026606099938,0.5411459206617397,0.9999999999999999,0.09210074367556231,0.5131650447068123,0.48749667409278863,0.9999999999999998,0.042437557816836335,0.6723813550364656,0.9827960883737779,0.7100428990530148,1.0,0.0,0.9999999999999996,0.759380426158251,1.0,0.5639005171140112,0.33177915387417256,0.44827586206896547,0.2916666666666661,0.0,0.4761904761904763,0.5,0.6000000000000001,0.4878048780487806,0.48711943793911006,0.05660377358490587,0.041095890410958846,0.5,0.5714285714285714,0.6531531531531531,0.611111111111111,0.054054054054053946,0.03947368421052633,0.2692307692307693,0.4320987654320987,0.1633435582822087,0.09523809523809523,0.6530612244897958,1.0,0.18181818181818182,0.14285714285714285,0.6376811594202896,0.7049180327868854,1.0,0.0,0.7903225806451615,1.0,0.5714285714285714,0.5496385825383454,0.0,0.20654911838790913,0.13057671381936897,0.25654596100278537,0.21389093588798813,0.5823691230410136,0.4798946629213484,0.497345005740528,0.24818915562913912,0.18658088235294124,0.1875,0.42625,0.33284125766871175,0.2495204603580563,0.2222222222222222,0.5225903614457832,0.21045855451684103,0.22463761286309403,0.2423808755946142,0.41582098061573547,0.22518568534773808,0.337890625,1.0000000000000002,0.5894028305143253,0.2068292682926831,0.1393034825870645,0.4126481866025027,0.32108982412060294,0.8582889337987631,0.7909054981969077,0.37021121491741327,0.35620849063872395,0.753656914893619,0.7102991227143008,0.08803875407461059,0.9416946460161029,0.49986306729264385,0.9359476499047532,0.06405235009524679,0.2817773075905844,0.3221347331583553,0.429450874168924,0.4150300948812671
