,Visitor,G,Home,G.1,Total_goal,Rk,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GF/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,Rk,Age,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,Assist-EV,PP,Assist-SH,S,S%,TOI,BLK,HIT,FOW,FOL,FO%,Rk,Age,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TK,GV,SAtt,Thru%,Rk,Age,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%,GSAA,G,A,PTS,PIM,Rk,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GF/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,Rk,Age,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,Assist-EV,PP,Assist-SH,S,S%,TOI,BLK,HIT,FOW,FOL,FO%,Rk,Age,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TK,GV,SAtt,Thru%,Rk,Age,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%,GSAA,G,A,PTS,PIM
10,New York Rangers,6,Buffalo Sabres,3,9,18,26.2,82,44,33,5,93,0.567,224,195,9,3,0.37,-0.06,2.73,2.38,49,290,16.9,42,257,83.66,11,5,13.1,14.6,2453,9.1,2410,0.919,11,415.03125,26.4375,46.125,7.0,11.875,18.875,2.6875,32.9375,2.637500000000001,5.125,1.53125,0.34375,1.09375,8.59375,2.78125,0.5,76.65625,7.648387096774193,762.65625,40.65625,72.90625,68.59375,75.125,40.95294117647058,387.6551724137931,26.03448275862069,47.86206896551724,587.2068965517242,612.1379310344828,48.05172413793103,-4.7,443.37931034482756,438.51724137931035,48.71724137931035,-5.578571428571428,6.896551724137932,92.64482758620689,99.55172413793105,53.14137931034483,46.85862068965517,19.689655172413794,13.275862068965518,144.75862068965517,53.52068965517241,31.666666666666668,28.333333333333332,28.666666666666668,27.333333333333332,14.666666666666666,11.0,1.6666666666666667,62.333333333333336,800.6666666666666,738.3333333333334,0.888,3.4699999999999993,3.6666666666666665,5.633333333333333,1651.6666666666667,15.333333333333334,0.6020000000000001,3.3333333333333335,89.0,11.645,0.0,1.3333333333333333,1.3333333333333333,2.0,15,27.5,82,43,29,10,96,0.585,240,228,5,1,0.15,-0.04,2.93,2.78,54,279,19.35,51,300,83.0,2,13,11.7,11.4,2690,8.9,2514,0.909,6,435.9310344827586,27.137931034482758,50.89655172413793,8.275862068965518,14.137931034482758,22.413793103448278,1.2758620689655173,32.275862068965516,2.796551724137931,6.344827586206897,1.8620689655172413,0.06896551724137931,1.3103448275862069,10.482758620689655,3.6206896551724137,0.034482758620689655,92.75862068965517,7.7821428571428575,839.5862068965517,40.275862068965516,51.89655172413793,77.65517241379311,85.24137931034483,38.730000000000004,440.962962962963,26.77777777777778,53.03703703703704,686.5555555555555,668.3333333333334,50.67777777777778,0.019230769230769232,521.5555555555555,499.6296296296296,51.01111111111109,-0.11153846153846159,7.6000000000000005,91.35185185185186,98.95925925925924,55.72592592592592,44.277777777777786,20.40740740740741,23.444444444444443,169.77777777777777,54.951851851851856,43.666666666666664,29.333333333333332,29.0,27.333333333333332,14.333333333333334,9.666666666666666,3.3333333333333335,72.66666666666667,834.6666666666666,762.0,0.9043333333333333,2.76,2.0,4.966666666666667,1654.3333333333333,15.333333333333334,0.3793333333333333,4.0,101.5,1.9699999999999998,0.0,1.0,1.0,2.0
11,Detroit Red Wings,3,Chicago Blackhawks,2,5,6,30.7,82,47,25,10,104,0.634,257,237,4,4,0.27,0.03,3.13,2.89,67,301,22.26,53,300,82.33,5,7,9.1,9.5,2757,9.3,2514,0.906,3,384.0,29.88,58.96,10.28,18.2,28.48,1.04,29.6,3.404,7.4,2.68,0.2,1.72,12.68,5.32,0.2,110.28,9.588000000000001,976.0,36.68,71.76,101.6,94.0,46.90624999999999,384.0,29.88,58.96,801.72,697.48,54.464,-0.4599999999999999,619.68,551.12,53.42000000000001,-0.988,8.124,91.42400000000002,99.54400000000001,52.47200000000001,47.528,22.76,27.6,200.04,55.84799999999999,53.75,28.75,22.5,20.5,11.75,6.25,2.5,57.75,627.0,569.25,0.83825,5.1125,0.75,3.3750000000000004,1245.0,9.5,0.4363333333333333,3.0,100.5,-3.585,0.0,0.25,0.25,2.0,13,26.7,82,44,29,9,97,0.591,252,220,6,5,0.41,0.01,3.07,2.68,64,277,23.1,53,255,79.22,6,4,9,9.5,2637,9.6,2354,0.907,5,414.8125,25.84375,46.09375,7.875,13.625,21.5,2.875,22.25,2.7656249999999996,5.6875,2.0,0.1875,1.1875,9.46875,3.90625,0.25,82.40625,6.919354838709676,765.0,35.75,56.96875,75.4375,73.03125,43.92727272727273,425.44444444444446,25.85185185185185,49.44444444444444,655.2962962962963,585.1481481481482,47.818518518518516,-5.8730769230769235,494.0,433.55555555555554,48.644444444444446,-5.138461538461538,8.034615384615385,91.77692307692308,99.82307692307693,55.670370370370364,44.333333333333336,26.14814814814815,20.074074074074073,158.0,58.89615384615384,50.5,30.5,43.0,41.0,22.0,14.5,4.5,105.0,1172.0,1067.0,0.907,2.66,2.5,6.65,2484.0,22.0,0.494,5.5,106.5,-2.9000000000000004,0.0,0.5,0.5,4.0
12,Anaheim Ducks,1,Nashville Predators,4,5,11,28.9,82,47,30,5,99,0.604,235,233,4,2,0.09,0.05,2.87,2.84,67,285,23.51,57,305,81.31,7,7,14.4,13.4,2334,10.1,2648,0.912,7,444.4117647058824,28.08823529411765,43.411764705882355,6.911764705882353,12.205882352941176,19.11764705882353,-1.9705882352941178,34.05882352941177,2.276470588235294,4.735294117647059,1.9705882352941178,0.20588235294117646,1.2647058823529411,8.117647058823529,3.823529411764706,0.2647058823529412,68.6470588235294,6.239393939393938,715.5882352941177,36.705882352941174,56.94117647058823,64.88235294117646,71.20588235294117,38.80952380952381,445.375,28.208333333333332,53.708333333333336,597.875,733.0416666666666,43.479166666666664,-2.0,464.2916666666667,555.0416666666666,44.10833333333333,-1.4304347826086956,6.954166666666668,91.44583333333333,98.39999999999998,55.04999999999999,44.949999999999996,17.583333333333332,23.5,153.58333333333334,55.52083333333332,42.0,26.8,18.8,16.4,9.4,6.0,1.0,45.0,528.2,483.2,0.8480000000000001,3.632,1.4,3.2800000000000002,992.8,8.6,0.51025,2.6,103.66666666666667,1.7766666666666662,0.0,0.4,0.4,0.0,10,26.7,82,44,27,11,99,0.604,213,190,6,4,0.31,0.01,2.6,2.32,41,269,15.24,41,272,84.93,5,2,8.8,8.5,2361,9.0,2510,0.924,8,474.0,26.75,46.09375,6.65625,11.5625,18.21875,3.6875,21.3125,2.5437499999999997,5.21875,1.28125,0.15625,1.1875,8.90625,2.5625,0.09375,73.78125,8.03225806451613,761.75,31.46875,52.625,73.5,72.90625,43.35238095238095,461.2758620689655,26.620689655172413,48.55172413793103,572.0689655172414,593.8275862068965,48.11724137931034,-3.4035714285714294,430.17241379310343,459.7241379310345,46.62068965517241,-3.2392857142857134,7.134482758620691,92.79655172413793,99.93103448275863,47.96428571428572,52.03571428571428,23.82758620689655,22.620689655172413,140.55172413793105,54.74137931034481,48.666666666666664,24.666666666666668,29.0,27.333333333333332,14.666666666666666,9.0,3.6666666666666665,62.0,835.3333333333334,773.3333333333334,0.9083333333333333,2.7733333333333334,2.6666666666666665,6.266666666666667,1656.6666666666667,18.333333333333332,0.6695,3.3333333333333335,89.5,16.57,0.0,0.0,0.0,4.0
13,Dallas Stars,5,New York Islanders,4,9,16,28.0,82,42,29,11,95,0.579,222,226,5,7,-0.02,0.05,2.71,2.76,55,306,17.97,55,277,80.14,10,15,13.0,13.8,2269,9.8,2504,0.91,5,518.516129032258,27.193548387096776,47.61290322580645,7.161290322580645,11.903225806451612,19.06451612903226,-1.3870967741935485,33.74193548387097,2.322580645161291,5.064516129032258,1.7741935483870968,0.3225806451612903,1.1935483870967742,8.290322580645162,3.2903225806451615,0.3225806451612903,73.19354838709677,7.00344827586207,786.8387096774194,38.83870967741935,71.35483870967742,76.96774193548387,77.09677419354838,44.747368421052634,528.2592592592592,27.25925925925926,48.51851851851852,547.1481481481482,609.0370370370371,48.21851851851852,-2.452,405.5925925925926,452.7037037037037,47.43703703703704,-3.1,7.3740740740740724,88.5074074074074,95.8777777777778,49.81851851851852,50.18148148148148,20.814814814814813,21.62962962962963,138.85185185185185,50.86538461538463,42.0,26.666666666666668,29.666666666666668,27.333333333333332,14.0,9.666666666666666,3.6666666666666665,71.66666666666667,831.0,759.3333333333334,0.9413333333333335,1.7933333333333332,1.6666666666666667,5.033333333333333,1658.6666666666667,15.0,0.5295000000000001,4.0,100.5,0.915,0.0,2.0,2.0,2.0,27,26.2,82,30,39,13,73,0.445,225,258,4,6,-0.42,0.01,2.74,3.15,52,302,17.22,52,310,83.23,15,7,18.5,16.2,2408,9.3,2620,0.902,2,449.3888888888889,25.416666666666668,41.0,6.25,10.36111111111111,16.61111111111111,-5.138888888888889,40.55555555555556,1.7861111111111114,4.388888888888889,1.4444444444444444,0.4166666666666667,0.7222222222222222,7.416666666666667,2.6666666666666665,0.2777777777777778,66.88888888888889,7.450000000000001,677.3888888888889,37.833333333333336,49.611111111111114,66.86111111111111,66.44444444444444,38.54210526315789,429.6470588235294,25.441176470588236,41.14705882352941,488.9117647058824,564.4411764705883,44.43823529411764,-4.04375,356.7647058823529,407.38235294117646,43.826470588235296,-4.140625,6.955882352941177,91.05588235294118,98.00882352941177,48.864705882352936,51.135294117647064,24.08823529411765,18.205882352941178,122.6470588235294,51.093939393939415,53.166666666666664,27.333333333333332,15.0,13.5,5.0,6.5,2.1666666666666665,41.333333333333336,435.0,393.6666666666667,0.9021666666666669,3.216666666666667,0.3333333333333333,2.1999999999999997,829.3333333333334,7.333333333333333,0.5541666666666667,2.1666666666666665,106.0,-4.633333333333333,0.0,0.5,0.5,4.833333333333333
14,Montreal Canadiens,3,Pittsburgh Penguins,2,5,14,27.6,82,44,30,8,96,0.585,213,206,3,3,0.05,-0.04,2.6,2.51,57,290,19.66,51,327,84.4,5,6,13.3,12.9,2602,8.2,2537,0.919,8,460.5625,27.09375,46.125,6.65625,11.3125,17.96875,-0.09375,32.9375,2.4000000000000004,4.71875,1.78125,0.15625,1.28125,7.8125,3.3125,0.1875,81.3125,6.159374999999999,755.09375,39.75,51.8125,72.15625,75.09375,37.016666666666666,441.7307692307692,26.923076923076923,52.15384615384615,690.0384615384615,648.2692307692307,50.91153846153845,0.4653846153846153,509.2307692307692,469.6923076923077,50.95000000000001,-0.4769230769230775,6.7576923076923086,92.80384615384614,99.56153846153846,50.91923076923077,49.08076923076923,18.76923076923077,22.53846153846154,173.03846153846155,51.51923076923078,37.0,26.5,44.0,41.0,22.0,15.0,4.0,99.0,1265.0,1166.0,0.9185000000000001,2.495,4.0,8.85,2477.5,24.0,0.55,5.5,93.5,11.205,0.0,1.5,1.5,7.5,3,27.4,82,49,25,8,106,0.646,228,196,10,3,0.43,-0.05,2.78,2.39,49,311,15.76,45,324,86.11,13,6,16.9,16.5,2581,8.8,2352,0.917,5,438.37142857142857,27.085714285714285,42.17142857142857,6.514285714285714,11.085714285714285,17.6,3.5142857142857142,38.22857142857143,2.4828571428571427,4.742857142857143,1.4,0.37142857142857144,1.1142857142857143,8.085714285714285,2.5428571428571427,0.45714285714285713,73.74285714285715,7.36764705882353,695.3714285714286,30.914285714285715,65.14285714285714,66.54285714285714,68.65714285714286,49.137499999999996,436.96774193548384,27.06451612903226,43.806451612903224,557.516129032258,500.6774193548387,52.05806451612903,-0.6933333333333334,409.9032258064516,375.38709677419354,51.6483870967742,-1.2433333333333332,7.000000000000002,91.89354838709679,98.89354838709677,54.18709677419354,45.81290322580646,13.548387096774194,13.258064516129032,140.06451612903226,53.932258064516134,31.0,29.5,44.0,41.0,24.5,12.5,4.0,95.0,1173.0,1078.0,0.92,2.245,2.0,7.85,2496.0,26.0,0.6735,7.0,91.5,7.1899999999999995,0.0,1.0,1.0,17.0
15,Columbus Blue Jackets,3,San Jose Sharks,2,5,24,26.8,82,34,35,13,81,0.494,210,250,5,8,-0.45,0.08,2.56,3.05,42,301,13.95,62,314,80.25,6,11,13.6,13.8,2506,8.4,2447,0.898,6,460.0,26.352941176470587,43.411764705882355,6.176470588235294,10.970588235294118,17.147058823529413,-3.176470588235294,32.205882352941174,1.7999999999999998,4.764705882352941,1.2352941176470589,0.17647058823529413,0.8529411764705882,8.323529411764707,2.3529411764705883,0.29411764705882354,73.70588235294117,8.106060606060607,716.5588235294117,32.76470588235294,68.08823529411765,72.32352941176471,68.97058823529412,50.0909090909091,444.23333333333335,25.966666666666665,45.9,558.6,534.7,50.13,-1.1933333333333336,420.0,400.3666666666667,50.10999999999999,-1.61,7.173333333333335,90.51333333333334,97.68666666666668,53.04,46.96,16.366666666666667,11.1,144.7,52.040000000000006,45.0,27.333333333333332,30.333333333333332,27.333333333333332,11.333333333333334,11.666666666666666,4.333333333333333,81.0,813.3333333333334,732.3333333333334,0.8783333333333333,3.9166666666666665,2.0,3.6666666666666665,1661.6666666666667,11.666666666666666,0.4085,6.333333333333333,114.0,-14.74,0.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,5,27.9,82,48,25,9,105,0.64,243,208,5,5,0.44,0.02,2.96,2.54,68,290,23.45,56,273,79.49,6,7,11.3,12.0,2832,8.6,2368,0.912,6,472.8965517241379,26.75862068965517,50.89655172413793,8.379310344827585,14.655172413793103,23.03448275862069,3.793103448275862,31.620689655172413,3.037931034482759,5.827586206896552,2.3448275862068964,0.20689655172413793,1.4827586206896552,10.172413793103448,4.344827586206897,0.13793103448275862,97.65517241379311,6.982758620689654,842.1034482758621,39.3448275862069,62.06896551724138,89.0,76.6896551724138,45.51176470588235,472.7307692307692,26.923076923076923,53.92307692307692,752.1923076923077,654.0,51.0576923076923,-1.6239999999999994,559.5384615384615,482.61538461538464,50.96923076923077,-1.7120000000000004,7.3076923076923075,92.10384615384616,99.41538461538464,49.94230769230769,50.05769230769231,25.115384615384617,28.96153846153846,194.19230769230768,52.76153846153846,70.66666666666667,26.666666666666668,28.333333333333332,27.333333333333332,16.0,8.333333333333334,3.0,68.0,788.3333333333334,720.3333333333334,0.9386666666666666,1.6966666666666665,2.0,4.733333333333333,1656.0,16.0,0.5585,3.6666666666666665,105.5,0.625,0.0,0.3333333333333333,0.3333333333333333,1.3333333333333333
16,Philadelphia Flyers,1,St. Louis Blues,2,3,4,27.6,82,47,23,12,106,0.646,256,216,3,7,0.4,-0.04,3.12,2.63,49,295,16.61,54,313,82.75,13,5,13.6,13.3,2605,9.8,2471,0.913,0,461.0,27.14814814814815,54.666666666666664,9.481481481481481,15.74074074074074,25.22222222222222,7.925925925925926,41.074074074074076,3.3481481481481477,7.185185185185185,1.8148148148148149,0.48148148148148145,1.6296296296296295,11.925925925925926,3.3703703703703702,0.4444444444444444,96.48148148148148,6.938461538461538,899.0370370370371,48.77777777777778,70.55555555555556,92.0,90.88888888888889,41.93125,448.3333333333333,27.166666666666668,59.791666666666664,772.2083333333334,783.7916666666666,47.91666666666666,-4.1521739130434785,577.5833333333334,569.5833333333334,48.73333333333333,-4.126086956521739,7.845833333333332,92.05,99.88333333333333,46.525000000000006,53.474999999999994,23.125,24.375,193.66666666666666,52.479166666666664,22.0,28.333333333333332,29.666666666666668,27.333333333333332,15.666666666666666,7.666666666666667,4.0,70.0,821.6666666666666,751.6666666666666,0.9066666666666666,3.0066666666666664,0.0,5.066666666666667,1654.0,17.0,0.41333333333333333,3.0,97.5,2.8049999999999997,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,20,25.7,82,38,33,11,87,0.53,236,228,4,6,0.11,0.04,2.88,2.78,52,279,18.64,51,279,81.72,7,1,14.9,15.5,2475,9.5,2274,0.9,10,435.42424242424244,25.21212121212121,44.72727272727273,7.151515151515151,11.909090909090908,19.060606060606062,0.7272727272727273,36.333333333333336,2.3939393939393927,5.363636363636363,1.5757575757575757,0.21212121212121213,1.0303030303030303,8.757575757575758,2.9393939393939394,0.21212121212121213,75.0,7.960606060606058,738.5454545454545,33.303030303030305,59.333333333333336,66.06060606060606,73.57575757575758,41.728571428571435,423.1923076923077,25.0,43.84615384615385,559.5,503.03846153846155,51.026923076923076,-0.953846153846154,418.96153846153845,372.6923076923077,51.75384615384616,-0.7615384615384616,7.703846153846153,90.08076923076925,97.78076923076921,57.43076923076922,42.56923076923078,14.384615384615385,10.961538461538462,137.92307692307693,53.39999999999999,18.0,27.666666666666668,29.666666666666668,27.333333333333332,12.666666666666666,11.0,3.6666666666666665,74.0,756.0,682.0,0.8966666666666666,2.8233333333333337,3.3333333333333335,3.533333333333333,1649.3333333333333,13.333333333333334,0.4203333333333334,5.666666666666667,119.5,-11.030000000000001,0.0,0.0,0.0,3.3333333333333335
17,Atlanta Thrashers,3,Tampa Bay Lightning,5,8,25,26.1,82,34,36,12,80,0.488,218,262,5,7,-0.57,-0.01,2.66,3.2,53,289,18.34,64,285,77.54,6,10,11.3,10.7,2581,8.4,2638,0.901,5,456.1714285714286,25.942857142857143,42.142857142857146,6.228571428571429,10.228571428571428,16.457142857142856,-5.114285714285714,25.714285714285715,1.7371428571428564,4.542857142857143,1.5142857142857142,0.17142857142857143,0.8285714285714286,7.171428571428572,2.8857142857142857,0.17142857142857143,73.74285714285715,6.647058823529412,699.2285714285714,36.2,42.77142857142857,65.11428571428571,68.57142857142857,40.434999999999995,438.0416666666667,24.833333333333332,47.833333333333336,619.2083333333334,644.4583333333334,48.387499999999996,-2.918181818181819,469.875,469.0,51.73333333333333,-1.1090909090909093,6.2,90.32608695652173,96.78695652173913,55.962500000000006,44.037499999999994,25.875,19.541666666666668,152.75,55.958333333333336,60.0,27.666666666666668,31.0,27.0,11.333333333333334,12.0,4.0,82.33333333333333,874.3333333333334,792.0,0.8890000000000001,3.4133333333333336,1.6666666666666667,4.466666666666667,1660.0,11.666666666666666,0.40700000000000003,4.666666666666667,111.5,-8.315,0.0,0.0,0.0,2.6666666666666665,8,29.0,82,46,25,11,103,0.628,241,234,6,6,0.04,-0.05,2.94,2.85,69,336,20.54,49,302,83.77,1,16,11,11.6,2605,9.3,2354,0.901,7,478.9642857142857,27.035714285714285,52.714285714285715,8.607142857142858,14.928571428571429,23.535714285714285,-2.357142857142857,31.178571428571427,2.8321428571428577,6.107142857142857,2.4642857142857144,0.03571428571428571,1.4285714285714286,10.071428571428571,4.857142857142857,0.0,93.03571428571429,6.425925925925925,870.75,44.607142857142854,58.82142857142857,88.78571428571429,87.42857142857143,42.45294117647059,493.55555555555554,26.88888888888889,53.851851851851855,685.7407407407408,641.5925925925926,50.67777777777777,-0.039999999999999813,516.7407407407408,462.0740740740741,52.1888888888889,-0.07200000000000005,7.362962962962962,86.78888888888889,94.16296296296296,49.040740740740745,50.95925925925926,20.814814814814813,22.51851851851852,173.55555555555554,53.48846153846154,50.0,31.0,22.25,20.5,11.5,6.25,2.75,56.75,586.75,530.0,0.917,2.345,1.75,2.85,1248.5,10.0,0.6035,5.0,114.66666666666667,-8.676666666666668,0.0,0.75,0.75,2.0
18,Ottawa Senators,1,Toronto Maple Leafs,5,6,26,28.1,82,32,40,10,74,0.451,190,245,2,5,-0.69,0.02,2.32,2.99,45,257,17.51,48,295,83.73,6,4,14.0,11.8,2381,8.0,2559,0.904,5,441.6857142857143,27.257142857142856,42.17142857142857,5.428571428571429,8.914285714285715,14.342857142857143,-7.685714285714286,32.6,1.5828571428571423,3.9714285714285715,1.2857142857142858,0.17142857142857143,0.8571428571428571,6.257142857142857,2.4285714285714284,0.22857142857142856,68.02857142857142,5.544117647058823,692.5428571428571,31.857142857142858,47.371428571428574,65.51428571428572,63.34285714285714,42.647619047619045,436.85714285714283,26.5,42.0,524.0,521.7142857142857,50.15357142857142,0.6444444444444445,391.2142857142857,394.92857142857144,49.96785714285714,0.13703703703703682,6.125,91.32142857142856,97.44285714285715,56.5642857142857,43.43571428571429,18.714285714285715,19.892857142857142,124.5,54.529629629629625,31.166666666666668,25.833333333333332,15.666666666666666,13.666666666666666,5.333333333333333,6.666666666666667,1.6666666666666667,39.666666666666664,425.3333333333333,385.6666666666667,0.8965,3.0816666666666666,0.8333333333333334,2.216666666666667,824.6666666666666,6.666666666666667,0.4086666666666667,3.0,99.33333333333333,-2.9033333333333324,0.0,0.0,0.0,0.3333333333333333,22,25.7,82,37,34,11,85,0.518,213,245,5,6,-0.41,0.0,2.6,2.99,52,326,15.95,62,275,77.45,5,8,12,13.7,2360,9.0,2540,0.904,3,365.93939393939394,25.181818181818183,44.72727272727273,6.454545454545454,10.848484848484848,17.303030303030305,-3.393939393939394,29.12121212121212,1.9363636363636365,4.7272727272727275,1.5757575757575757,0.15151515151515152,0.9696969696969697,7.757575757575758,2.9696969696969697,0.12121212121212122,71.51515151515152,6.43030303030303,739.6666666666666,40.09090909090909,62.06060606060606,71.84848484848484,70.54545454545455,36.76818181818181,358.0,24.75862068965517,44.241379310344826,539.0689655172414,591.2758620689655,47.86551724137931,-1.479310344827586,382.2413793103448,432.6551724137931,46.658620689655166,-2.2482758620689656,6.951724137931033,93.25862068965519,100.21379310344828,50.010344827586216,49.996551724137916,16.413793103448278,23.413793103448278,134.93103448275863,50.67586206896552,45.0,27.0,31.0,27.333333333333332,12.333333333333334,11.333333333333334,3.6666666666666665,78.66666666666667,843.6666666666666,765.0,0.9036666666666667,2.9166666666666665,1.0,4.433333333333334,1651.6666666666667,13.333333333333334,0.462,3.6666666666666665,110.66666666666667,-5.170000000000001,0.0,0.3333333333333333,0.3333333333333333,2.0
19,Los Angeles Kings,2,Vancouver Canucks,1,3,12,26.3,82,46,30,6,98,0.598,209,196,10,2,0.29,0.03,2.55,2.39,47,291,16.15,40,276,85.51,4,6,11.7,11.8,2363,8.8,2288,0.914,9,520.7931034482758,25.862068965517242,50.89655172413793,7.206896551724138,12.689655172413794,19.896551724137932,0.7586206896551724,32.3448275862069,2.737931034482759,5.448275862068965,1.6206896551724137,0.13793103448275862,1.2413793103448276,9.448275862068966,3.0689655172413794,0.1724137931034483,81.48275862068965,7.068965517241382,840.3793103448276,35.58620689655172,73.34482758620689,83.0,79.34482758620689,49.41111111111112,508.44444444444446,25.555555555555557,53.333333333333336,669.9629629629629,630.5555555555555,50.57037037037038,-2.492592592592593,492.74074074074076,475.0740740740741,50.26666666666666,-1.9444444444444446,7.970370370370371,91.92222222222225,99.9,52.03703703703704,47.96296296296296,16.14814814814815,28.48148148148148,167.92592592592592,50.300000000000004,39.0,23.5,43.0,41.0,23.0,15.0,3.0,95.5,1141.5,1046.0,0.9155,2.3600000000000003,4.5,7.3,2484.5,25.5,0.6265000000000001,6.0,97.0,3.945,0.0,1.0,1.0,0.0,1,28.1,82,54,19,9,117,0.713,258,180,4,5,0.87,-0.07,3.15,2.2,72,296,24.32,45,312,85.58,6,2,11.5,11.2,2624,9.8,2470,0.927,5,456.9189189189189,26.56756756756757,39.86486486486486,6.972972972972973,12.0,18.972972972972972,6.621621621621622,25.16216216216216,2.7810810810810813,4.864864864864865,1.945945945945946,0.16216216216216217,1.3513513513513513,8.162162162162161,3.7027027027027026,0.13513513513513514,70.91891891891892,9.813513513513513,655.8108108108108,28.945945945945947,48.4054054054054,71.70270270270271,59.0,45.06818181818181,461.3142857142857,26.6,41.2,547.2857142857143,496.0285714285714,49.24285714285715,-3.8617647058823525,407.8,372.25714285714287,49.425714285714285,-3.805882352941176,9.251428571428571,93.0142857142857,102.26857142857145,49.30571428571429,50.69714285714285,16.514285714285716,14.428571428571429,137.2,51.77142857142858,66.0,27.5,42.5,41.0,27.0,9.5,4.5,88.5,1233.5,1145.0,0.9285000000000001,2.17,2.5,9.6,2481.0,27.5,0.6745000000000001,3.5,82.5,18.955,0.0,3.0,3.0,1.0
20,New Jersey Devils,2,Washington Capitals,7,9,23,29.9,82,38,39,5,81,0.494,171,207,3,2,-0.41,0.02,2.09,2.52,34,237,14.35,40,241,83.4,3,8,9.3,9.6,2344,7.3,2152,0.904,9,529.9428571428572,26.65714285714286,42.0,4.885714285714286,8.142857142857142,13.028571428571428,-4.428571428571429,21.17142857142857,1.717142857142857,3.8285714285714287,0.9714285714285714,0.08571428571428572,1.0,6.142857142857143,1.8857142857142857,0.11428571428571428,66.97142857142858,5.644117647058823,696.1714285714286,25.0,43.97142857142857,62.457142857142856,59.57142857142857,41.63157894736841,542.21875,26.0625,42.46875,491.96875,453.8125,50.284375,-2.4451612903225795,377.84375,347.375,50.996875,-1.6741935483870964,6.2749999999999995,91.08437499999998,97.36562499999998,53.49374999999999,46.50625000000001,14.875,18.8125,117.0625,55.909677419354836,34.333333333333336,34.0,30.666666666666668,27.333333333333332,12.666666666666666,13.0,1.6666666666666667,67.0,715.3333333333334,648.3333333333334,0.9026666666666667,2.6266666666666665,3.0,3.6999999999999993,1650.3333333333333,15.0,0.383,4.333333333333333,105.5,-6.465,0.0,1.0,1.0,2.0,2,25.9,82,48,23,11,107,0.652,219,191,5,6,0.27,-0.06,2.67,2.33,46,263,17.49,43,299,85.62,7,5,11.3,10.6,2566,8.5,2375,0.92,8,365.84375,27.71875,46.125,6.84375,11.53125,18.375,3.6875,28.25,2.584375,5.1875,1.4375,0.21875,1.34375,8.625,2.71875,0.1875,80.1875,8.360000000000001,762.53125,38.78125,58.28125,77.90625,73.21875,42.42777777777778,337.11538461538464,27.153846153846153,49.92307692307692,655.6153846153846,618.0,49.95384615384615,-0.29600000000000004,470.53846153846155,445.5,50.30384615384616,0.06800000000000012,9.476923076923075,91.56923076923076,101.03846153846153,51.93600000000001,48.06399999999999,22.5,22.423076923076923,169.1153846153846,52.841666666666676,61.0,21.666666666666668,29.666666666666668,27.0,16.0,7.666666666666667,3.6666666666666665,63.333333333333336,791.3333333333334,728.0,0.924,2.1566666666666667,2.6666666666666665,5.366666666666667,1661.6666666666667,15.666666666666666,0.6213333333333334,2.6666666666666665,87.33333333333333,5.603333333333333,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666
