,Visitor,G,Home,G.1,Total_goal,Rk,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GF/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,Rk,Age,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,Assist-EV,PP,Assist-SH,S,S%,TOI,BLK,HIT,FOW,FOL,FO%,Rk,Age,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TK,GV,SAtt,Thru%,Rk,Age,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%,GSAA,G,A,PTS,PIM,Rk.1,AvAge.1,GP.1,W.1,L.1,OL.1,PTS.1,PTS%.1,GF.1,GA.1,SOW.1,SOL.1,SRS.1,SOS.1,GF/G.1,GF/G.1,PP.1,PPO.1,PP%.1,PPA.1,PPOA.1,PK%.1,SH.1,SHA.1,PIM/G.1,oPIM/G.1,S.1,S%.1,SA.1,SV%.1,SO.1,Rk.1,Age.1,GP.1,G.1,A.1,PTS.1,+/-.1,PIM.1,PS.1,EV.1,PP.1,SH.1,GW.1,Assist-EV.1,PP.1,Assist-SH.1,S.1,S%.1,TOI.1,BLK.1,HIT.1,FOW.1,FOL.1,FO%.1,Rk.1,Age.1,GP.1,CF.1,CA.1,CF%.1,CF% rel.1,FF.1,FA.1,FF%.1,FF rel.1,oiSH%.1,oiSV%.1,PDO.1,oZS%.1,dZS%.1,TK.1,GV.1,SAtt.1,Thru%.1,Rk.1,Age.1,GP.1,GS.1,W.1,L.1,T/O.1,GA.1,SA.1,SV.1,SV%.1,GAA.1,SO.1,GPS.1,MIN.1,QS.1,QS%.1,RBS.1,GA%.1,GSAA.1,G.1,A.1,PTS.1,PIM.1
0,Carolina Hurricanes,1,Florida Panthers,5,6,0.8620689655172414,0.1875,0.0,0.19047619047619047,0.8999999999999999,0.4,0.14634146341463417,0.14754098360655743,0.3396226415094339,0.8493150684931505,0.125,0.14285714285714285,0.2387387387387387,0.611111111111111,0.34234234234234195,0.8486842105263159,0.23076923076923084,0.5308641975308639,0.05828220858895716,0.8571428571428571,0.5306122448979593,0.2505415162454874,0.2727272727272727,0.5714285714285714,0.28985507246376807,0.180327868852459,0.8674351585014408,0.2666666666666666,0.879032258064516,0.21739130434782794,0.2857142857142857,0.7082243110960618,0.13208608197253113,0.0,0.18765739157469308,0.2269160366096299,0.21362248657753424,0.31711713428285615,0.13695024077046536,0.2159422666885351,0.346972563859981,0.08823529411764708,0.2571428571428571,0.22674285714285702,0.3828746713409291,0.08695652173913049,0.20317460317460315,0.25387263339070554,0.33865739653309523,0.007992309287289334,0.22955275797330144,0.1323994135852744,0.159428957268255,0.1312500000000001,0.5483097880928358,0.8185052390125491,0.14225019669551564,0.01709195955705356,0.28358048673643754,0.35442332630896434,0.6303647379785411,0.6610383836387888,0.2633951694898995,0.39335899927674745,0.5357541180507894,0.5873374907515062,0.12881027210804863,0.30692152622255975,0.13628275026503367,0.9658047238191032,0.03419527618089635,0.577624966939963,0.14588095842858362,0.2869943045968337,0.32386151150890585,0.6951219512195123,0.580645161290323,0.4022988505747127,0.33333333333333326,0.13580246913580246,0.6545454545454545,0.2962962962962963,0.5440860215053764,0.45053199936477684,0.4426173347036656,0.2834224598930497,0.8508946322067596,0.19047619047619047,0.3294346978557506,0.3228399196249163,0.21985815602836883,0.37497655224160553,0.5,0.7086092715231789,0.2529301851537285,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,0.375,0.0,0.0,1.0,0.6000000000000001,0.0,0.0,0.0,1.0,0.375,0.14285714285714285,0.0,0.7777777777777777,0.0,1.0,0.42307692307692313,0.24691358024691334,0.5084355828220861,0.9999999999999999,0.3265306122448979,0.0,0.36363636363636365,0.14285714285714285,0.30434782608695654,0.11475409836065564,0.4495677233429394,0.1777777777777778,0.7943548387096775,0.0,0.0,1.0,0.528699291980228,0.06652837457401084,0.0,0.0,0.0,0.0,0.17256444150693973,0.0,0.04119594857810682,0.2603806228373703,0.3529411764705882,0.0,0.0,0.31171957273958184,0.0,0.11091424521615889,0.0,0.08361765093966156,0.1455411641396056,0.1690790797504863,0.0,0.0,0.4876885389558656,1.0000000000000002,0.663414634146342,0.0,0.05886812353736093,0.2828046482412062,0.36999612141996785,0.4904445470294543,0.08039339817497004,0.3298279271643938,0.23878546099290787,0.44700822614799784,0.17363274176023213,0.043467273186760025,0.0,0.8538106852219376,0.1461893147780624,0.21290663845543512,0.08101487314085742,0.074940490847903,0.5027277930998579,0.5670731707317074,0.838709677419355,0.4482758620689655,0.33333333333333326,0.037037037037037035,0.7272727272727273,0.4444444444444444,0.6473118279569892,0.42448785135778944,0.40630352860568697,0.08556149732620533,1.0,0.0,0.16569200779727095,0.3308774279973208,0.07801418439716318,0.10936034515100346,0.8125,0.9999999999999998,0.07615650302927351,0.0,0.0,0.0,0.16666666666666666
1,Chicago Blackhawks,5,Los Angeles Kings,2,7,0.0,0.16666666666666696,0.0,1.0,0.0,0.5,1.0,1.0,0.7547169811320757,0.0,0.75,0.7142857142857142,1.0,0.11111111111111105,0.7477477477477477,0.0,0.2692307692307693,0.34567901234567877,0.22085889570552175,0.0,0.12244897959183687,0.9429602888086643,0.4545454545454546,0.7142857142857142,0.0,0.08196721311475397,0.7204610951008643,0.666666666666667,0.2983870967741935,0.7826086956521756,1.0,0.6808745620333676,0.26784828630347945,0.4527924954399376,0.8577539304341302,0.7939294976467195,0.8155413818514472,1.0,0.12511429678419217,1.0,0.9598081753825076,0.2697768762677485,0.5172413793103449,0.9577931034482762,0.9133276919822296,0.33459740717876363,0.735632183908046,0.6092646447860406,0.7511677147017966,0.4866520764989315,0.4574115828484209,0.058255023001612116,0.46129129898251375,0.46875,0.0,0.6520291927609845,0.29965156794425063,0.34061833688699394,0.3694914136919476,0.2806891600861451,0.9066253729123468,0.42980289482784184,0.38095831883120623,0.24715006659108663,1.0,0.3784377972730156,0.7012987012987015,0.8410205628877776,0.8778294768611694,0.8630003040167789,0.13699969598322115,0.9999999999999999,0.30296212973378345,0.38044816547648375,0.5656003984567226,0.12804878048780488,0.5483870967741935,0.33333333333333326,0.33333333333333326,0.5555555555555556,0.0,0.37037037037037035,0.07096774193548383,0.2720343020485946,0.28776978417266186,0.4759358288770077,0.3558648111332008,0.5714285714285714,0.4775828460038986,0.34784550122795266,0.4751773049645391,0.32695554305008434,0.0,0.21523178807947008,0.6879565143536606,0.0,0.0,0.0,0.3333333333333333,0.24137931034482757,0.10416666666666696,0.0,0.5714285714285714,0.45,0.5,0.5609756097560975,0.5620608899297425,0.41509433962264186,0.23287671232876717,0.25,0.5714285714285714,0.6621621621621622,0.38888888888888884,0.4144144144144142,0.23684210526315796,0.5769230769230771,0.5432098765432096,0.4670245398773005,0.4285714285714285,0.5306122448979593,0.6541516245487369,0.18181818181818182,0.14285714285714285,0.11594202898550732,0.180327868852459,0.5389048991354466,0.48888888888888893,0.17741935483870952,0.3913043478260896,0.2857142857142857,0.7092074934540018,0.4302296240222052,1.0,1.0000000000000002,0.9999999999999998,1.0000000000000002,0.6522340780260086,0.43053370786516865,0.9627822426329891,0.9089403973509933,0.7977941176470589,0.25,0.9678888888888891,0.9282975460122699,0.8369565217391305,0.4444444444444444,1.0,0.21583595621740936,0.9999999999999996,0.3781847133757963,1.0,0.9999999999999998,1.0,0.6471446140262358,0.7924577148774594,0.40000000000000036,1.0,1.0000000000000002,0.5403266331658293,1.0000000000000004,0.6991293286568196,1.0000000000000002,0.6221554048848139,0.9585106382978728,0.6142490223020822,0.5019512857660273,0.40160294595472834,0.4609448356807544,0.9444537433346887,0.055546256665311766,0.3736048664374504,0.7475065616797902,1.0,0.4721840037466811,0.35060975609756095,0.274193548387097,0.896551724137931,1.0,0.6666666666666667,0.6181818181818182,0.5555555555555556,0.6774193548387097,0.6121962839447357,0.6063720452209662,0.44919786096256864,0.2644135188866801,0.2857142857142857,0.5087719298245614,0.9805760214333556,0.7872340425531914,0.7197523916713562,0.8125,0.48344370860927155,0.33123832172583656,0.0,0.25,0.25,0.25
2,Colorado Avalanche,2,Minnesota Wild,4,6,0.9655172413793104,0.14583333333333304,0.0,0.04761904761904767,0.8999999999999999,0.7000000000000001,0.07317073170731714,0.07259953161592514,0.09433962264150964,0.7260273972602738,0.25,0.2857142857142857,0.2027027027027027,0.611111111111111,0.09909909909909898,0.7302631578947367,0.11538461538461542,0.2222222222222221,0.09279141104294486,0.8571428571428571,0.9795918367346936,0.444765342960288,0.2727272727272727,0.42857142857142855,0.4782608695652173,0.049180327868852514,0.49279538904899134,0.24444444444444446,0.8024193548387095,0.304347826086957,0.42857142857142855,0.8279188342852666,0.16426949280847936,0.5465994962216625,0.3842686149541428,0.4412256267409471,0.42193915148963046,0.2518315629019196,0.5230979133226324,0.29965556831228457,0.5225875118259224,0.15441176470588247,0.3214285714285714,0.20666666666666667,0.5880368098159509,0.19437340153452698,0.25396825396825395,0.5619621342512908,0.06850760692307167,0.55976324668715,0.8220217458909711,0.5205082260954553,0.5638082376772451,0.5669642857142856,0.3908200116841045,0.6926263243142776,0.33921200750469005,0.44374282433983936,0.4048863230115083,0.5624698009277157,0.532488211158062,0.6668591991913635,0.3878692719408665,0.5539836540684062,0.5428856382978715,0.603494507817518,0.3578448443986295,0.32662106657558,0.30785030697002647,0.4804013625837582,0.5195986374162413,0.86629503794275,0.32020997375328086,0.4054514803098894,0.6197233218984772,0.3292682926829269,0.3548387096774195,0.3793103448275863,0.33333333333333326,0.06172839506172839,0.6545454545454545,0.5185185185185185,0.4752688172043009,0.427028743846276,0.42274751627269624,0.4224598930481296,0.624254473161034,0.2857142857142857,0.36062378167641324,0.334896182183523,0.07801418439716318,0.5813168261114234,0.375,0.6225165562913906,0.24205877356888056,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.4827586206896552,0.375,0.0,0.523809523809524,0.6000000000000001,0.30000000000000004,0.46341463414634154,0.46370023419203743,0.16981132075471717,0.3835616438356164,0.5,0.2857142857142857,0.45945945945945943,0.22222222222222215,0.1711711711711712,0.38157894736842124,0.34615384615384626,0.3580246913580245,0.31365030674846617,0.38095238095238104,0.0,0.47436823104693104,0.09090909090909091,0.0,0.318840579710145,0.37704918032786905,0.3976945244956771,0.3333333333333335,0.381048387096774,0.36956521739130466,0.42857142857142855,0.5449948959714086,0.4841169708694313,0.6473551637279598,0.5169870632329827,0.6011761064685854,0.5726684680258742,0.4126536005829103,0.45370786516853945,0.5882127822426326,0.5811258278145695,0.41176470588235303,0.1111111111111111,0.6490864197530865,0.6245398773006136,0.5012787723785167,0.2633744855967078,0.5932619366354306,0.17578803964861178,0.6652661973768077,0.47457156422729274,0.2521728113518308,0.716432840673219,0.5891203703703702,0.7566591974832317,0.369994822229893,0.4731707317073166,0.5982587064676617,0.4277222936374523,0.5596799099664992,0.48112254271541444,0.36436360717285,0.425667120686017,0.5847686647661607,0.4565325797872344,0.3029066694852553,0.264849692140529,0.5180331419906778,0.36106220657277,0.2802474633955816,0.7200848058790243,0.3181257163008021,0.2834645669291339,0.47196913732249857,0.6938578689007984,0.19969512195121952,0.370967741935484,0.06896551724137934,0.0,0.14814814814814814,0.2636363636363636,0.16666666666666666,0.03870967741935483,0.09147212958551698,0.09558067831449124,0.0,0.8951292246520879,0.21428571428571427,0.14619883040935672,0.008037508372404578,0.04255319148936171,0.15306696679797416,0.390625,0.562913907284768,0.3072872430779684,0.0,0.0,0.0,0.125
3,Toronto Maple Leafs,2,Montreal Canadiens,1,3,0.3103448275862069,0.0,0.0,0.523809523809524,0.5,0.5,0.5121951219512196,0.5128805620608899,0.6792452830188682,0.42465753424657526,0.0,0.7142857142857142,0.6531531531531531,0.611111111111111,0.6756756756756754,0.4276315789473686,0.5,0.5432098765432096,0.3742331288343561,0.04761904761904756,0.44897959183673475,0.9913357400722029,0.09090909090909091,0.5714285714285714,0.9999999999999998,0.9344262295081966,0.05763688760806929,1.0,0.8850806451612905,0.6521739130434803,0.8571428571428571,0.3985676797093278,0.3728656741525782,0.6473551637279598,0.9609478902188371,0.937913958526772,0.9457135838860233,0.5539056228619416,0.9999999999999999,0.7978483650125441,0.9999999999999998,0.5642701525054468,0.1111111111111111,0.8572839506172839,0.9999999999999999,0.6206308610400683,0.0,0.3826416778224009,0.4879034152299522,0.6498233356162517,0.9968466410456249,0.9991638160395288,0.69942731387701,0.8807870370370372,0.544827054602534,0.2844396752262459,0.4496288441145282,0.6499026606099938,0.5411459206617397,0.9999999999999999,0.09210074367556231,0.5131650447068123,0.48749667409278863,0.9999999999999998,0.042437557816836335,0.6723813550364656,0.9827960883737779,0.7100428990530148,1.0,0.0,0.9999999999999996,0.759380426158251,1.0,0.5639005171140112,0.33177915387417256,0.9999999999999999,0.22580645161290303,0.3793103448275863,0.33333333333333326,0.30864197530864196,0.3636363636363637,0.37037037037037035,0.2946236559139783,0.4537081149753852,0.4659129838985955,1.0000000000000018,0.0,0.5714285714285714,0.6023391812865495,0.32775173029694127,0.3617021276595745,0.6218345526167699,0.1875,0.314569536423841,0.6561916086291829,0.0,0.16666666666666666,0.16666666666666666,0.5,0.10344827586206896,0.375,0.0,0.6666666666666667,0.35000000000000003,0.5,0.6585365853658537,0.65807962529274,0.6981132075471699,0.36986301369863006,0.375,0.2857142857142857,0.7387387387387387,0.38888888888888884,0.6936936936936937,0.368421052631579,0.9230769230769231,1.0,0.5291411042944787,0.8095238095238094,0.7755102040816326,0.40433212996389845,0.0,0.2857142857142857,0.5942028985507246,0.8852459016393444,0.6455331412103744,0.6444444444444448,0.368951612903226,0.36956521739130466,0.5714285714285714,0.23073233897654788,0.6433214127228588,0.4527924954399376,0.8118269483321454,0.8879838632215924,0.8621960206337509,0.6893631210403467,0.562386671832623,0.8048220436280138,0.7054692852249371,0.8732251521298176,0.0,0.7639540229885059,0.7676750581764334,0.9457624129111916,0.0,0.5660573327793932,0.30170828607667977,0.4546204400580054,0.5720946267171181,0.29180985334014864,0.55945423641994,0.7316810344827585,0.47201769046417774,0.22212633759061085,0.4667317073170736,0.4343283582089552,0.4570091301624972,0.3955653266331659,0.7890256598689445,0.39557773057353174,0.3961401960596238,0.3425385622929349,0.822632978723405,0.4691893034562943,0.6209706628033322,0.6654391855301576,0.7115962441314583,0.5409459362521214,0.45905406374787816,0.20601957154192008,0.43496062992125994,0.513568086678158,0.20367632825102655,0.4054878048780488,0.467741935483871,0.9310344827586208,1.0,0.7407407407407407,0.509090909090909,0.5555555555555556,0.8193548387096774,0.7036684135302524,0.6937307297019528,0.3609625668449219,0.4284294234592445,0.5714285714285714,0.5555555555555556,0.9825853985264568,0.7446808510638296,0.6409679234665164,0.8125,0.6026490066225165,0.28809240699847116,0.0,0.0,0.0,0.0
4,Columbus Blue Jackets,3,Nashville Predators,2,5,0.5172413793103449,0.0625,0.0,0.4285714285714286,0.5,0.7000000000000001,0.46341463414634154,0.46370023419203743,0.1132075471698113,0.2465753424657533,0.625,0.5714285714285714,0.545045045045045,0.5555555555555555,0.11711711711711681,0.25,0.15384615384615397,0.4074074074074072,0.030674846625766916,0.33333333333333337,0.18367346938775508,0.6115523465703969,0.2727272727272727,0.2857142857142857,0.49275362318840554,0.540983606557377,0.11239193083573484,0.44444444444444464,0.657258064516129,0.7173913043478279,0.5714285714285714,0.1276773296244782,0.12672218016654035,0.36523929471032757,0.27856365614798717,0.37303621169916434,0.34104642593957246,0.5322307435811937,0.44999999999999984,0.49276693455797915,0.4172185430463575,0.13725490196078427,0.30000000000000004,0.3940444444444444,0.5129447852760737,0.16112531969309474,0.35555555555555557,0.1875502008032126,0.4168137495050632,0.40117371334501994,0.3521325485769571,0.37838084378563297,0.4176457348638307,0.2708333333333335,0.9508598217288935,0.161506598337803,0.28517823639774775,0.3404133180252584,0.12801496930835388,0.43577865287978346,0.30650989037908083,0.7465021146911184,0.07931073664762534,0.470177268605499,0.13630319148936154,0.5302830242371517,0.47174588359847314,0.6240491881128705,0.5778033586132185,0.3196852703739186,0.680621439725718,0.21290663845543512,0.0,0.18600950883639888,0.3271010043190907,0.2682926829268293,0.12903225806451601,0.896551724137931,1.0,0.5555555555555556,0.6727272727272728,0.7777777777777777,0.6516129032258065,0.8361124344926156,0.8499486125385407,0.5053475935828882,0.4522862823061633,0.5714285714285714,0.9999999999999998,1.0,0.8297872340425532,0.4417557681485649,0.34375,0.4139072847682119,0.716833701375913,0.0,0.0,0.0,0.0,0.896551724137931,0.2708333333333339,0.0,0.04761904761904767,0.8,0.9,0.12195121951219512,0.12177985948477754,0.0,0.4931506849315068,0.25,0.8571428571428571,0.3063063063063063,0.9999999999999999,0.0,0.493421052631579,0.23076923076923084,0.2222222222222221,0.2569018404907977,0.761904761904762,0.08163265306122458,0.09891696750902579,0.09090909090909091,0.5714285714285714,0.0869565217391306,0.0983606557377048,0.0,0.40000000000000036,0.4536290322580645,0.2826086956521756,0.7142857142857142,0.22278595075319774,0.04693414080242242,0.20654911838790913,0.088955386289445,0.19972144846796658,0.16221444362564474,0.3707194064688229,0.0711025280898876,0.2746842709529276,0.23282284768211925,0.15441176470588247,0.09375,0.11883333333333335,0.2888420245398774,0.21595268542199497,0.1111111111111111,0.0,0.560871699256305,0.23271945863414434,0.4232217003950658,0.12137970353477767,0.1692268737339635,0.1953125,0.5399708487498602,0.29158516472979734,0.0,0.20093974571586504,0.01685887740141334,0.368136981202308,0.35481068673548277,0.35064732728122555,0.035063935729617635,0.34929929544306626,0.3392434988179671,0.44040961680746055,0.9999999999999998,0.08670990930278677,0.6228916710137398,0.019416082829200487,0.9805839171707977,0.3340680008228275,0.277145912316516,0.05891634062035456,0.40666437169012815,0.8353658536585366,1.0,1.0,1.0,0.25925925925925924,1.0,1.0,0.896774193548387,0.7408289661743688,0.7276464542651593,0.12032085561497396,0.8131212723658054,0.7142857142857142,0.5438596491228069,0.986604152712659,0.6595744680851063,0.4957794034890264,1.0,0.9403973509933776,0.24443689485306608,0.0,0.25,0.25,1.0
5,New Jersey Devils,2,New York Islanders,1,3,0.7586206896551725,1.0,0.0,0.19047619047619047,0.6000000000000001,1.0,0.29268292682926844,0.2927400468384075,0.018867924528302105,0.34246575342465757,0.25,1.0,0.3918918918918919,0.7222222222222221,0.018018018018017834,0.3421052631578949,0.3846153846153848,0.6666666666666665,0.1625766871165646,0.6666666666666666,0.693877551020408,0.49819494584837454,1.0,0.8571428571428571,0.2028985507246377,0.3278688524590163,0.34293948126801155,0.24444444444444446,0.0,0.06521739130434767,0.42857142857142855,0.6300310396962634,0.9038377721193758,0.1344172200595377,0.04312988426154929,0.041732084071916864,0.04220539961144221,0.39294916487313947,0.11932584269662927,0.3218522770761575,0.0,0.22459893048128354,1.0,0.22795959595959592,0.03764640267707753,0.24087421529876774,0.6464646464646464,0.11555312157721787,0.11445013388453029,0.16206703326644512,0.0,0.0,0.050743764450719375,0.19602272727272707,0.5625763449997343,0.6003535167176508,0.8935239697224553,0.1206896551724137,0.058613529189128544,0.0,0.8658384384879025,0.26195176876808857,0.07917665277707031,0.0,0.8915077035950114,0.3551151915850552,0.09163658844246858,0.304873448686692,0.10658491176947038,0.9999999999999996,0.0,0.2505084405694534,0.18816182459951136,0.17041836136844157,0.1156249303072423,0.19512195121951215,0.879032258064516,0.0,0.0,0.018518518518518545,0.2636363636363636,0.5555555555555556,0.0,0.0,0.0,0.6858288770053473,0.06610337972167013,0.21428571428571427,0.0,0.011386470194239773,0.10638297872340424,0.4586381541924591,0.4375,0.9403973509933776,0.08765075590283672,1.0,0.375,0.5,0.25,0.5517241379310345,0.5625,0.0,0.4285714285714286,0.5,0.7000000000000001,0.46341463414634154,0.46370023419203743,0.4905660377358494,0.5342465753424657,0.5,0.42857142857142855,0.545045045045045,0.6666666666666666,0.4864864864864864,0.5328947368421053,0.5,0.41975308641975295,0.46625766871165664,0.47619047619047616,0.1428571428571428,0.44115523465703976,0.18181818181818182,0.0,0.05797101449275366,0.1311475409836067,0.694524495677233,0.4666666666666668,0.4879032258064515,0.26086956521739424,0.42857142857142855,0.5286787204450625,0.7349886449659344,0.8730478589420656,0.9741022850924923,0.9412813370473534,0.9523949889462051,0.44148849616538843,0.32497078651685396,0.749804822043628,0.9482781456953642,0.6588235294117648,0.24,0.6282666666666669,0.9428466257668712,0.7161125319693095,0.14222222222222222,0.9891566265060239,0.48306666040306245,0.8956815140148158,1.0000000000000002,0.41209578107183586,0.7020121539500337,0.9312499999999999,0.6428144971409349,0.4797721781152917,0.8460487804878039,0.6462686567164182,0.6650318072448005,0.7079145728643218,0.5339457407067192,0.4330040013831942,0.6102327009035626,0.6537606903459436,0.5678191489361701,0.4571119331994504,0.5894820717131477,0.0,0.2721126760563415,0.5597656679658551,0.44055331053776703,0.8717693731816979,0.7243044619422574,0.6397439054420093,0.46191018369152204,0.5548780487804877,0.709677419354839,0.26436781609195403,0.33333333333333326,0.25925925925925924,0.3636363636363637,0.5185185185185185,0.3462365591397849,0.32729871367317775,0.32545392257622474,0.032085561497328996,0.8906560636182903,0.2857142857142857,0.290448343079922,0.33578923866934574,0.21985815602836883,0.08459951228662532,0.3125,0.5430463576158939,0.33786308816035326,0.0,0.6666666666666666,0.6666666666666666,0.5
6,Pittsburgh Penguins,3,Philadelphia Flyers,1,4,0.034482758620689655,0.625,0.0,1.0,0.25000000000000006,0.0,0.8780487804878049,0.8782201405152225,1.0,0.3013698630136985,0.375,0.0,0.9414414414414416,0.22222222222222215,1.0,0.3026315789473686,0.9230769230769231,0.5925925925925926,0.8374233128834356,0.761904761904762,0.6530612244897958,0.39494584837545066,0.18181818181818182,0.42857142857142855,0.36231884057971,0.42622950819672134,0.5590778097982705,0.9555555555555557,0.590725806451613,0.608695652173914,0.7142857142857142,0.3958239995854709,1.0,0.28333468757617597,0.896767173294956,0.8958217270194984,0.8961418689233842,0.8624917983413825,0.30395795578108,0.8817821562164361,0.8137684255500961,0.7770398481973435,0.1935483870967742,1.0,0.8650900455175142,0.7784836234634106,0.0,0.3620287602020986,0.6561313931280701,0.278646050270555,0.539021516646597,0.37974031706330236,0.39310840539304315,0.2993951612903225,0.46928607467204886,0.2789523645150156,1.0,0.5453980099502491,0.45867804915565236,0.5956475083752096,0.2645089513544412,0.46284461968896107,0.4643227118383948,0.5774883144566865,0.3477670656028371,0.42324278617482297,0.6242303513219847,1.0,0.886737089201878,0.3383945864517828,0.6616054135482163,0.1602970995327514,0.2578740157480316,0.5100344742674219,0.4495285897429828,0.6341463414634146,0.903225806451613,0.9655172413793103,1.0,1.0,0.39999999999999997,0.0,0.7419354838709677,0.8075273939971415,0.8119218910585817,0.5374331550802136,0.41948310139165024,0.5714285714285714,0.8479532163742691,0.9705291359678498,0.6170212765957446,0.48339898705683715,0.8125,0.3543046357615893,0.5530830643791405,0.0,1.0,1.0,0.5,0.6551724137931035,0.39583333333333304,0.0,0.38095238095238093,0.75,0.30000000000000004,0.31707317073170727,0.3161592505854801,0.4339622641509435,0.5753424657534245,0.125,0.2857142857142857,0.46846846846846846,0.6666666666666666,0.43243243243243246,0.5789473684210527,0.7307692307692308,0.6049382716049383,0.6019938650306749,0.38095238095238104,1.0,0.8447653429602893,0.18181818181818182,0.42857142857142855,0.9420289855072459,1.0,0.43227665706051877,0.5555555555555558,0.526209677419355,0.26086956521739424,0.14285714285714285,0.7618109211597819,0.5933816372877683,0.0025188916876572875,0.25108036685838653,0.2723756466374849,0.2651647541846509,0.34529795646167766,0.5316789727126806,0.3700508446777101,0.24862819299905392,0.47058823529411775,0.17142857142857143,0.387352380952381,0.2219631901840492,0.5012787723785167,0.20317460317460315,0.04595524956970731,0.6275619751353352,0.0,0.4519067967427235,0.3181755986316991,0.03480273946175361,0.13482142857142865,0.9120101749075011,0.7478537307782245,0.5614476789929199,0.01949927780452576,0.012514500127059014,0.30653772896741793,0.25926562478392823,0.25047423800820057,0.0,0.2653795585424594,0.2683596431022659,0.28058978966282644,0.4329137993480623,0.6101815717115606,0.5057120500782464,0.014528508983369992,0.9857287317453562,0.0,0.2691558716450767,0.10628241891795276,0.38744962037980457,0.25457317073170727,0.782258064516129,0.034482758620689724,0.0,0.09259259259259262,0.3454545454545455,0.16666666666666666,0.08387096774193548,0.12243925678894718,0.1253854059609456,0.02807486631016154,0.804174950298211,0.07142857142857142,0.15789473684210525,0.0010046885465505584,0.10638297872340424,0.0,0.390625,0.2549668874172184,0.3241039578732801,0.0,0.5,0.5,0.0
